Tarih: 1/2/2025, 6:10:59 PM | Pozisyon: long | Giriş Fiyatı: 97136.3 | Hedef: 98107.663 | Stop-Loss: 96164.937 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:11:59 PM | Pozisyon: short | Giriş Fiyatı: 97065.7 | Hedef: 96095.04299999999 | Stop-Loss: 98036.357 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:12:59 PM | Pozisyon: long | Giriş Fiyatı: 97042.8 | Hedef: 98013.228 | Stop-Loss: 96072.372 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:13:59 PM | Pozisyon: short | Giriş Fiyatı: 97054.1 | Hedef: 96083.55900000001 | Stop-Loss: 98024.641 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:14:59 PM | Pozisyon: long | Giriş Fiyatı: 96989.6 | Hedef: 97959.49600000001 | Stop-Loss: 96019.704 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:15:59 PM | Pozisyon: short | Giriş Fiyatı: 96950.6 | Hedef: 95981.09400000001 | Stop-Loss: 97920.106 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:16:59 PM | Pozisyon: long | Giriş Fiyatı: 97030.5 | Hedef: 98000.80500000001 | Stop-Loss: 96060.19499999999 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:17:59 PM | Pozisyon: short | Giriş Fiyatı: 96916.7 | Hedef: 95947.533 | Stop-Loss: 97885.867 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:18:59 PM | Pozisyon: long | Giriş Fiyatı: 96863.1 | Hedef: 97831.731 | Stop-Loss: 95894.46900000001 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:19:59 PM | Pozisyon: short | Giriş Fiyatı: 96652.2 | Hedef: 95685.678 | Stop-Loss: 97618.722 | Sonuç: Açık | Kasa: 1000.00
Tarih: 1/2/2025, 6:20:59 PM | Pozisyon: long | Giriş Fiyatı: 96572.1 | Hedef: 97537.82100000001 | Stop-Loss: 95606.379 | Sonuç: Açık | Kasa: 1000.00
